District,Location,pH,EC,TDS,CO3,HCO3,Cl,NO3,S04,F,Alkalinity,Ca,Mg,TH,Na,K,SAR
Ahmedabad,Ayodhyapuram,8.54,2394,1604,132,671,284,26,119,1.8,770,32,39,240,475,7.9,16.7
Ahmedabad,Barvala,8.52,5749,3852,168,830,767,19,860,1.8,960,40,68,380,1198,0.3,20.0
Ahmedabad,Dalod,8.5,20980,14057,200,1025,6000,78,557,3.5,1173,200,1277,5750,2016,63,11.6
Ahmedabad,Devaliya,8.23,2618,1754,0,524,412,43,236,0.88,430,24,24,160,525,1.4,14.2
Ahmedabad,Dhandhuka,8.19,14330,9601,0,1232,3124,1058,906,5.0,1010,120,304,1550,3025,20,38.7
Ahmedabad,Endla,8.03,755,506,0,354,50,16,16,0.52,290,52,34,270,45,10,1.2
Ahmedabad,Ghuma,7.57,4245,2844,0,817,717,43,342,0.75,670,108,117,750,474,200,7.5
Ahmedabad,Kundal,7.96,1951,1307,0,427,298,2,188,1.53,350,36,24,190,363,1.48,11.4
Ahmedabad,Rajpara,7.98,679,455,0,244,64,23,25,0.65,200,28,27,180,70,0.5,15.1
Ahmedabad,Tagadi,8.12,3430,2298,0,500,515,85,394,0.73,410,144,107,800,380,30,33.6
Ahmedabad,Vallabipur,8.30,6845,4586,0,976,1740,9.6,594,1.7,800,100,134,800,1310,1.3,30.1
Amreli,Ankadia Mota,8.12,1051,704,0,403,78,72,31,0.41,330,40,44,280,118,0.7,18.4
Amreli,Bagasara,7.82,2812,1884,0,366,540,158,205,0.50,300,120,126,820,274,0.90,31.8
Amreli,Bhavardi,7.94,1370,918,0,573,128,18,60,0.39,470,108,56,500,93,7.4,29.1
Amreli,Bherai,8.14,3602,2413,0,573,852,8.0,104,0.45,470,64,129,740,489,30,28.3
Amreli,Bhuva,8.09,10470,7015,0,952,2840,180,607,1.2,780,100,207,1100,2030,115,33.2
Amreli,Chalala,7.57,4609,3088,0,451,1108,183,124,0.15,370,152,223,1300,463,0.50,37.9
Amreli,Chavand,8.05,587,393,0,293,36,10,25,0.32,240,36,24,190,64,0.30,16.9
Amreli,Govadka,7.91,2740,1836,0,354,568,131,191,0.45,290,88,112,680,350,0.90,27.9
Amreli,Hippavadli,9.11,2282,1529,168,805,99,34,34,1.4,940,16,24,140,465,4.8,12.4
Amreli,Kadiyali,7.87,4827,3234,0,586,1278,23,64,1.3,480,240,68,880,697,11,46.4
Amreli,Kerala,8.06,1599,1071,0,500,263,25,32,0.25,410,32,22,170,304,0.9,15.8
Amreli,Khambha,7.76,1008,675,0,366,85,103,40,0.24,300,52,54,350,89,0.40,20.7
Amreli,Kunkvav,7.99,1305,874,0,293,227,32,60,0.45,240,88,51,430,103,1.2,26.2
Amreli,Lathi,7.80,1749,1172,0,573,284,14,65,0.36,470,44,75,420,251,0.60,21.1
Amreli,Luvaria,8.22,931,624,0,488,28,9.5,9.0,3.9,400,8,10,60,184,0.40,8.3
Amreli,Mandal,7.99,2772,1857,0,427,596,139,63,0.76,350,80,34,340,479,4.2,25.4
Amreli,Piyava,8.30,1454,974,0,708,92,29,20,0.45,580,20,39,210,253,1.6,14.6
Amreli,Punjapadar,799,628,421,0,329,36,4.0,17,0.86,270,24,7.0,90,108,7.2,14.8
